Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-113.58,53.31,EDMONTON INTL A,3012216,2016-01-01,2016,01,01,NA,0.8,NA,-17.2,NA,-8.2,NA,26.2,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,12,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2016-01-02,2016,01,02,NA,-6.6,NA,-19.2,NA,-12.9,NA,30.9,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,12,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2016-01-03,2016,01,03,NA,-7.7,NA,-22.1,NA,-14.9,NA,32.9,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,12,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2016-01-04,2016,01,04,NA,-8.0,NA,-23.3,NA,-15.7,NA,33.7,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,12,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2016-01-05,2016,01,05,NA,-9.4,NA,-23.4,NA,-16.4,NA,34.4,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,12,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2016-01-06,2016,01,06,NA,-9.4,NA,-21.6,NA,-15.5,NA,33.5,NA,0.0,NA,0.0,NA,0.6,NA,0.6,NA,12,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2016-01-07,2016,01,07,NA,-8.9,NA,-12.7,NA,-10.8,NA,28.8,NA,0.0,NA,0.0,NA,0.8,NA,0.6,NA,13,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2016-01-08,2016,01,08,NA,-12.1,NA,-17.8,NA,-15.0,NA,33.0,NA,0.0,NA,0.0,NA,0.4,NA,0.0,T,13,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2016-01-09,2016,01,09,NA,-16.8,NA,-27.8,NA,-22.3,NA,40.3,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,15,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2016-01-10,2016,01,10,NA,-1.1,NA,-26.6,NA,-13.9,NA,31.9,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,15,NA,29,NA,33,NA
