Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-26,2015,01,26,NA,3.5,NA,-4.5,NA,-0.5,NA,18.5,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,7,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-27,2015,01,27,NA,2.3,NA,-2.8,NA,-0.3,NA,18.3,NA,0.0,NA,0.8,NA,0.4,NA,1.2,NA,7,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-28,2015,01,28,NA,0.0,NA,-6.3,NA,-3.2,NA,21.2,NA,0.0,NA,0.0,NA,0.2,NA,0.0,T,7,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-29,2015,01,29,NA,-2.9,NA,-8.3,NA,-5.6,NA,23.6,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,6,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-30,2015,01,30,NA,-4.4,NA,-13.1,NA,-8.8,NA,26.8,NA,0.0,NA,0.0,NA,5.2,NA,5.2,NA,6,NA,2,NA,35,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-01-31,2015,01,31,NA,-13.1,NA,-19.3,NA,-16.2,NA,34.2,NA,0.0,NA,0.0,NA,1.6,NA,1.6,NA,14,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-01,2015,02,01,NA,-14.1,NA,-24.9,NA,-19.5,NA,37.5,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,15,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-02,2015,02,02,NA,-14.8,NA,-17.3,NA,-16.1,NA,34.1,NA,0.0,NA,0.0,NA,2.0,NA,2.0,NA,14,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-03,2015,02,03,NA,-14.0,NA,-28.4,NA,-21.2,NA,39.2,NA,0.0,NA,0.0,NA,0.4,NA,0.4,NA,17,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-04,2015,02,04,NA,-5.1,NA,-25.5,NA,-15.3,NA,33.3,NA,0.0,NA,0.0,NA,0.2,NA,0.2,NA,17,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-05,2015,02,05,NA,-5.4,NA,-17.2,NA,-11.3,NA,29.3,NA,0.0,NA,0.0,NA,7.6,NA,7.6,NA,18,NA,7,NA,41,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-06,2015,02,06,NA,-16.5,NA,-18.2,NA,-17.4,NA,35.4,NA,0.0,NA,0.0,NA,0.2,NA,0.2,NA,25,NA,11,NA,44,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-07,2015,02,07,NA,-15.2,NA,-18.7,NA,-17.0,NA,35.0,NA,0.0,NA,NA,M,0.0,T,NA,M,25,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-08,2015,02,08,NA,-13.8,NA,-22.1,NA,-18.0,NA,36.0,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,25,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-09,2015,02,09,NA,-14.4,NA,-21.3,NA,-17.9,NA,35.9,NA,0.0,NA,NA,M,0.4,NA,0.2,NA,25,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-10,2015,02,10,NA,-10.7,NA,-19.1,NA,-14.9,NA,32.9,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,25,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-11,2015,02,11,NA,-10.3,NA,-16.1,NA,-13.2,NA,31.2,NA,0.0,NA,NA,M,NA,M,NA,M,25,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-12,2015,02,12,NA,4.0,NA,-11.4,NA,-3.7,NA,21.7,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,25,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-13,2015,02,13,NA,3.1,NA,-6.4,NA,-1.7,NA,19.7,NA,0.0,NA,0.2,NA,0.0,T,0.2,NA,25,NA,13,NA,52,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-14,2015,02,14,NA,1.1,NA,-12.9,NA,-5.9,NA,23.9,NA,0.0,NA,7.4,NA,0.0,NA,7.4,NA,22,NA,12,NA,54,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-15,2015,02,15,NA,3.0,NA,-0.6,NA,1.2,NA,16.8,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,24,NA,32,NA,46,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-16,2015,02,16,NA,0.2,NA,-15.1,NA,-7.5,NA,25.5,NA,0.0,NA,0.0,NA,0.8,NA,0.6,NA,27,NA,3,NA,33,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-17,2015,02,17,NA,-6.1,NA,-22.3,NA,-14.2,NA,32.2,NA,0.0,NA,0.0,NA,0.6,NA,0.4,NA,28,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-18,2015,02,18,NA,3.4,NA,-6.5,NA,-1.6,NA,19.6,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,26,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-19,2015,02,19,NA,6.6,NA,-1.1,NA,2.8,NA,15.2,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,19,NA,33,NA,57,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-20,2015,02,20,NA,3.1,NA,-9.6,NA,-3.3,NA,21.3,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,19,NA,36,NA,48,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-21,2015,02,21,NA,-6.2,NA,-22.1,NA,-14.2,NA,32.2,NA,0.0,NA,0.0,NA,0.6,NA,0.6,NA,20,NA,6,NA,32,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-22,2015,02,22,NA,-0.7,NA,-21.1,NA,-10.9,NA,28.9,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,23,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-23,2015,02,23,NA,6.8,NA,-2.4,NA,2.2,NA,15.8,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,23,NA,27,NA,33,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-24,2015,02,24,NA,6.2,NA,-7.2,NA,-0.5,NA,18.5,NA,0.0,NA,0.0,NA,0.8,NA,0.8,NA,23,NA,32,NA,69,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-25,2015,02,25,NA,-7.3,NA,-20.8,NA,-14.1,NA,32.1,NA,0.0,NA,0.0,NA,0.6,NA,0.6,NA,17,NA,2,NA,44,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-26,2015,02,26,NA,-9.7,NA,-21.6,NA,-15.7,NA,33.7,NA,0.0,NA,0.0,NA,0.0,NA,0.0,NA,17,NA,15,NA,37,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-27,2015,02,27,NA,-9.1,NA,-18.1,NA,-13.6,NA,31.6,NA,0.0,NA,0.0,NA,0.8,NA,0.8,NA,17,NA,NA,NA,<31,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-02-28,2015,02,28,NA,-2.5,NA,-18.8,NA,-10.7,NA,28.7,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,17,NA,33,NA,43,NA
-113.58,53.31,EDMONTON INTL A,3012216,2015-03-01,2015,03,01,NA,-2.5,NA,-19.6,NA,-11.1,NA,29.1,NA,0.0,NA,0.0,NA,0.0,T,0.0,T,17,NA,15,NA,37,NA
